num,questions,지문,c1,c2,c3,c4,c5,answer,score,cat
1,밑줄 친 한자어의 쓰임이 적절하지 않은 것은?,,① 그녀는 지방의 도립 병원에서 차출(差出)되어 온 간호사이다.,② 국회 예산결산특별위원회는 내년 예산안을 심의(審議)하였다.,③ 그가 범죄자로 이름이 회자(膾炙)되고 있다는 것이 안타깝다.,④ 그 선수는 많은 이의 예상을 뒤엎고 재기(再起)에 성공하였다.,⑤ 이적해 온 선수의 눈부신 활약(活躍)으로 인해 우리 팀이 승리하였다.,3,10,어휘력
2,다음 관용구의 의미가 적절하지 않은 것은? ,,① ‘무대에 서다’ → 공연에 참가하다.,② ‘귀에 딱지가 앉다’ → 같은 말을 여러 번 듣다.,③ ‘비행기를 태우다’ → 남을 지나치게 칭찬하거나 높이 추어올려 주다.,④ ‘물로 보다’ → 사람을 하찮게 보거나 쉽게 생각하다. ,⑤ ‘눈물이 앞서다’ → 일을 함에 있어서 감정이 앞서다.,5,10,어휘력
0,아래 글을 읽고 3~5 문제를 풀어주세요.,"어느 공공 주택 단지의 인적이 드문 공터에 사람들이 버린 쓰레기가 쌓여 해당 구청 측이 골머리를 앓고 있었다. 주기적으로 청소차와 인력을 보내 깔끔하게 치워도 하루 이틀만 지나면 다시 쓰레기가 쌓였다. 해결 방법을 고심하던 차에 한 공무원이 아이디어를 냈고, 그 결과 공터에 예쁜 꽃밭이 조성 되었다. 그 이후 더 이상 그곳에 쓰레기가 쌓이지 않았다. 어떻게 이런 변화가 일어난 것일까? 어떤 선택을 강제로 금지하거나 경제적 유인책을 제공하지 않고도 예상 가능한 방향으로 사람들의 행동을 변화하도록 유도하는 것을 ‘넛지(nudge)’라고 한다. ‘넛지’는 원래 ‘팔꿈치로 슬쩍 찌르다’라는 의미를 지닌 영어 단어지만, 미국의 행동경제학자 리처드 탈러와 하버드 로스쿨의 캐스 선스타인 교 수는 ‘사람들의 바람직한 선택을 부드럽게 유도하되, 선택의 자유는 여전히 개인에게 열려 있는 상태’ 라는 의미로 이를 새롭게 정의했다. ‘넛지’ 형태의 간섭은 쉽게 피할 수 있어야 하며, 또 그렇게 하는 데 비용도 적게 들어야 한다. 또한 ‘넛지’는 명령이나 지시가 아니다. 쓰레기 불법 투기를 막기 위해 공터에 꽃밭을 조성하는 것은 ‘넛지’다. 그러나 쓰레기 불법 투기자를 CCTV로 촬영하여 벌금을 부과 하는 등의 법적 제재를 가하는 것은 ‘넛지’가 아니다. 이러한 ‘넛지’를 만드는 사람을 ‘선택 설계자(choice architect)’라 부른다. ‘선택 설계자’는 사람들이 결정을 내리는 데 배경이 되는 정황이나 맥락을 만드는 사람이다. 우리 주변에는 이러한 ‘선택 설계 자’가 무수히 많다. 환자에게 선택 가능한 다양한 치료법을 설명하고 소개해야 하는 의사도 ‘선택 설 계자’다. 학생에게 실천 가능한 여러 공부 방법이나 학교생활 개선 방법 등을 안내하는 교사도 ‘선택 설계자’다.
리처드 탈러와 캐스 선스타인 교수는 ‘선택 설계자’에 의한 ‘넛지’가 필요한 이유를 인간의 성향 때 문이라고 설명한다. 그들은 인간이 불합리한 존재라고 주장한다. 인간들 스스로는 자신을 합리적인 존 재라고 여기고 있지만, 부족한 정보나 잘못된 편견, 판단 등으로 인해 부적절한 결정을 내리는 경우가 많다는 것이다. 예를 들어, 어느 백화점에서 당일 20만 원 이상 구매 고객에게 1만원 상당의 사은품 을 주는 행사를 실시하는 경우, 많은 사람들이 사은품을 받기 위해 필요하지도 않은 물건을 구매한다. 사은품을 받은 사람들은 자신이 합리적 선택을 했다고 흐뭇해한다. 하지만 약간의 시간이 지나 자신 이 구입한 필요 없는 물건을 보고는 이내 자신의 잘못된 선택에 후회를 하는 것이다. 저자들은 이러 한 인간의 불완전성에 근거하여 ‘넛지’의 필요성을 역설한다. 어떤 특정한 정책이나 방침이 보다 나은 결과를 가져올 것이라 예측될 경우 ‘넛지’를 이용해 선택의 자유를 존중하면서도 좀 더 현명한 선택을 하게끔 사람들을 이끌어야 한다는 것이다. 물론, 이러한 ‘넛지’에 반대하는 사람들도 존재한다. 선택의 자유를 옹호하는 사람들은 그 누구도 사 람들의 선택을 의도적으로 유도하거나 조종해서는 안 된다고 주장한다. 그들은 ‘넛지’의 필요성을 주 장하는 사람들이 매우 미끄러운 비탈길을 미끄러져 내려가기 시작했다고 우려한다. 즉, 자유주의적 개 입주의를 허용하고 받아들이면 이후에는 극도의 개입주의적 간섭이 뒤따를 것이 분명하다는 것이다. 그러나 ‘넛지’ 찬성론자들은 과도한 자유주의가 오히려 인간의 잘못된 선택을 방관하고, 그 결과 심각 한 위험을 초래할 수 있다는 점을 지적하며, 자유주의적 개입주의인 ‘넛지’의 필요성을 강조하고 있다.",,,,,,,,
3,윗글의 내용과 일치하지 않는 것은?,,① 넛지는 인간의 합리적이지 못한 특성으로 인해 필요하다. ,② 넛지는 사람들이 현명한 선택을 하도록 도와주는 역할을 한다. ,③ 넛지에 반대하는 사람들은 넛지의 효과 자체를 인정하지 않고 있다. ,④ 넛지로 인한 간섭을 피하는 데는 노력이나 비용이 적게 들어야 한다. ,⑤ 넛지 찬성론자들은 인간의 잘못된 선택과 그로 인한 위험에 대해 염려한다.,3,10,사실적 이해
4,윗글의 서술상 특징으로 가장 적절한 것은? ,,① 대상을 그 특성에 따라 분류하여 설명하고 있다.,② 구체적 사례를 제시하여 독자의 이해를 돕고 있다. ,③ 상반된 관점의 주장을 절충하여 대안을 제시하고 있다. ,④ 기존 통념에 대한 비판을 통해 자신의 주장을 강조하고 있다.,⑤ 글의 쟁점을 통시적으로 고찰하며 하나의 입장을 옹호하고 있다.,2,10,사실적 이해
5,‘넛지’를 긍정적으로 활용한 사례는?,,① 몸에 좋은 음식을 그렇지 않은 음식보다 더 잘 보이게 배열하는 영양사,② 포인트 적립 제도를 활용하여 판매량을 높이려는 카페 사장,③ 벌점과 상점의 누적을 통해 학생들에게 벌 또는 상을 주는 학교,④ 일정한 기간을 정해 정기 세일을 진행하는 백화점,⑤ 동일한 상품의 동시 구매 개수에 따라 할인율을 차등 적용하는 대형 마트,1,10,추론적이해
6,a와 같은 인과적 구조를 보여주는 것은?,"예를 들어, 정부가 경기 침체를 예고하면, 많은 사람들은 이에 대비하여 행동을 하고, 반대로 경기 회복을 예고하면 또한 그에 따라 행동하기 때문에  a. 경기 예측 그 자체가 경기 변동에 영향을 미친다.","① 기술의 혁신은 에너지 사용을 증가시키고, 그것은 다시 오염된 환경을 더욱 악화시킨다.","② 큰 목소리가 사람들의 대화를 방해하고, 그것은 다시 사람들의 목소리를 더욱 크게 만든다.","③ 실내의 온도가 올라가면 자동 온도 조절 장치에 의해 보일러가 꺼지고, 온도는 다시 내려간다.","④ 할아버지는 손자가 장차 큰 인물이 되리라고 늘 말하였고, 그 말에 용기 백배한 손자는 열심히 일해서 큰 성공을 거두었다.","⑤ 풀어진 신발 끈을 다시 묶느라 집을 약간 늦게 출발하였고, 그래서 그는 기차를 놓쳤고, 그래서 그는 시험을 치르지 못 했고, 그 결과 그는 전혀 다른 인생을 살게 되었다. ",4,10,비판적 이해
7,"아래 글을 토대로, 아래 문장에 적힌 내용의 옳고 그름을 바르게 짝지은 것은??

[문장1] 스위스 생모리츠는 해발고도가 가장 높은 도시다.\n

[문장2] 위스키의 풍미와 품질은 해발고도와 관련이 높다.\n\n","[문장1] 스위스 생모리츠는 해발고도가 가장 높은 도시다.\n[문장2] 위스키의 풍미와 품질은 해발고도와 관련이 높다.\n\n세계에서 가장 고도가 높은 위스키 증류소에서 마시는 술은 어떤 맛일까?
스위스 생모리츠(St. Moritz)에 있는 위스키 증류소는 피츠 코르바취(Piz Corvasch) 산 해발 3303m에 위치해 있으며, 세계에서 가장 고도가 높은 위스키 증류소다. 이 고도에서는 해수면보다 10도 정도 낮은 온도에서 증류 과정이 일어난다.
","① O, O","② O, X","③  X, O","④ X, X",,4,10,비판적 이해
8,아래 제시된 인터넷 신문 기사의 의도를 판단하기 위해 던질 수 있는 질문으로 적절하지 않은 것은?,"OO 신문 입력 2022.05.11. 오전 9:00

“임차수요 선호”  ***공원 인접 ‘☆☆아파트’ 단지 내 상가 공급

공원과 인접한 상업시설이 관심을 받고 있다. 공원으로 나들이를 나온 휴양객들을 유효 수요로 확보 할 수 있고 조망권도 뛰어나기 때문이다. 최근 코로나 팬데믹 상황에서 보다 안전한 여가활동을 즐길 수 있는 공원으로 이용객들이 몰리는 점도 영향을 미친 것으로 풀이된다.
공원 옆 상권은 주변 상권보다 상대적으로 높은 매출을 올린 것으로 나타났다. 17일 소상공인 상권정보 시스템 자료에 따르면, ☆☆아파트 반경 500m이내에 위치한 커피전문점의 점포당 월 평균 매출액은 작년 11월 기준 1200만원을 기록했다. 이는 현재 해당 지역 전체 커피 전문점의 점포당 월 평균 매출액인 1086만원보다 높은 수치이다.
",① 기자로부터 ☆☆아파트 상가의 시세 정보를 추가로 얻을 수 있을까?,② 해당 공원에 이용객들이 몰린다고 한 이유가 무엇일까?,③ 전반적으로 이 글은 독자들이 어떻게 하기를 원하는 걸까?,④ oo신문은 이 기사를 내보내서 어떤 이득을 취할까?,⑤ 커피전문점의 월 매출액 1200만원과 1086만원은 얼마나 큰 차이일까?,1,10,추론적이해
9,(  가  )에 들어갈 내용으로 가장 알맞은 것을 고르시오.,주변을 (  가  ) 세포 활동이 활발해져 손톱이 더 빨리 자란다. 연구팀은 최근 컴퓨터나 휴대전화의 자판을 누르는 등 손가락 끝을 사용하는 일이 많아지면서 손톱이 자라는 것에 영향을 준 것으로 보았다.,① 깨끗하게 관리하면,② 감싸서 보호해주면,③ 자극하는 활동을 하면,④ 건조하지 않게 해주면,⑤ 관리하지않고 방치해두면,3,10,논리적 사고
